,name,year,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location,plate,brand
0,KIA Sportage,2018,23600.0,1.6L,174.0,Manual,Petrol,16990,GC,SUV,Belfast Audi,Belfast,,KIA
1,Vauxhall Astra,2007,119000.0,1.9L,118.0,Automatic,Diesel,995,GC,Hatchback,Burch Autos,Newtownards,57,Vauxhall
2,Citroen DS3,2012,75995.0,1.6L,156.0,Manual,Petrol,1493,GC,Hatchback,Auto Sales NI,Newtownabbey,,Citroen
3,Audi A3,2007,98968.0,2.0L,168.0,Manual,Diesel,1999,GC,Hatchback,Clearly Cars,Belfast,57,Audi
4,Suzuki Swift,2007,67200.0,1.5L,101.0,Manual,Petrol,1295,GC,Hatchback,Charles Hurst Usedirect Budget Choice,Belfast,07,Suzuki
5,Vauxhall Astra,2009,78518.0,1.6L,113.0,Manual,Petrol,2490,GC,Hatchback,M J Motors,Belfast,59,Vauxhall
6,Jaguar X-Type,2006,98000.0,2.0L,130.0,Manual,Diesel,500,GC,Saloon,Auto Choice,Newtownards,06,Jaguar
7,Vauxhall Corsa,2011,94000.0,1.2L,84.0,Manual,Petrol,1895,GC,Hatchback,Danny Mcfall Car Sales,Ballyclare,61,Vauxhall
8,Nissan Qashqai,2013,133000.0,1.5L,110.0,Manual,Diesel,1995,Cat D,SUV,Fc Motors,Newtownabbey,63,Nissan
13,Audi Q5,2020,21000.0,2.0L,187.0,Automatic,Diesel,34990,GC,SUV,Belfast Audi,Belfast,,Audi
14,Ford Fiesta,2008,100557.0,1.4L,67.0,Manual,Diesel,2799,GC,Hatchback,RLW Cars,"Bangor, County Down",,Ford
15,MINI Hatch,2011,105000.0,2.0L,141.0,Manual,Diesel,4395,GC,Hatchback,P H Cars,Holywood,,MINI
16,Audi A5,2017,68352.0,2.0L,188.0,Manual,Diesel,15795,GC,Hatchback,Car Brothers NI,Newtownabbey,,Audi
17,Toyota Auris,2009,74060.0,1.33L,100.0,Manual,Petrol,2899,GC,Hatchback,RLW Cars,"Bangor, County Down",,Toyota
18,Mercedes-Benz C Class,2015,153000.0,1.6L,134.0,Manual,Diesel,6995,GC,Saloon,F J Cars,Belfast,,Mercedes-Benz
19,Volkswagen Golf,2016,76000.0,1.6L,108.0,Manual,Diesel,7000,Cat S,Hatchback,E Flynn Car Sales,Ballygowan,,Volkswagen
20,KIA Ceed,2010,86000.0,1.6L,113.0,Manual,Diesel,2995,GC,Hatchback,Fc Motors,Newtownabbey,,KIA
21,Audi A6 Saloon,2016,61300.0,2.0L,187.0,Manual,Diesel,12999,GC,Saloon,Charles Hurst Usedirect Newtownards,Newtownards,,Audi
22,Audi A4,2012,80000.0,2.0L,141.0,Manual,Diesel,8995,GC,Saloon,DB Automotive,Newtownabbey,,Audi
23,Vauxhall Adam,2013,50090.0,1.4L,99.0,Manual,Petrol,6625,GC,Hatchback,Auto Choice,Newtownards,,Vauxhall
24,Suzuki Swift,2010,47000.0,1.5L,101.0,Manual,Petrol,3495,GC,Hatchback,Richard Dorrian Cars,Bangor,,Suzuki
26,Audi Q2,2017,25018.0,1.6L,114.0,Manual,Diesel,16450,GC,SUV,Belfast Audi,Belfast,,Audi
27,Audi A5,2013,104100.0,1.8L,170.0,Manual,Petrol,6995,GC,Coupe,Car Brothers NI,Newtownabbey,,Audi
28,SKODA Yeti,2013,59000.0,2.0L,138.0,Manual,Diesel,8995,GC,SUV,PL Motors LTD,Newtownabbey,,SKODA
30,Ford Mondeo,2010,148000.0,1.8L,123.0,Manual,Diesel,1550,GC,Hatchback,Danny Mcfall Car Sales,Ballyclare,,Ford
31,Volkswagen Polo,2018,55400.0,1.0L,74.0,Manual,Petrol,10795,GC,Hatchback,Ballyrobert Mallusk,Newtownabbey,,Volkswagen
32,Vauxhall Corsa,2014,81507.0,1.2L,84.0,Manual,Petrol,3499,GC,Hatchback,RLW Cars,"Bangor, County Down",,Vauxhall
33,Vauxhall Corsa,2009,21000.0,1.2L,79.0,Manual,Petrol,3695,GC,Hatchback,Fc Motors,Newtownabbey,,Vauxhall
35,Volkswagen Polo,2011,46281.0,1.2L,59.0,Manual,Petrol,6850,GC,Hatchback,HMK Car Sales Ltd,Newtownabbey,,Volkswagen
36,Mazda MX-5,1995,104000.0,1.8L,130.0,Manual,Petrol,3600,GC,Convertible,,,,Mazda
39,Audi TT,2020,2806.0,2.0L,194.0,Automatic,Petrol,27150,GC,Coupe,Belfast Audi,Belfast,,Audi
40,Vauxhall Corsa,2014,87000.0,1.2L,84.0,Manual,Petrol,4850,GC,Hatchback,DYNAMIC VEHICLES NI LTD,Ballyclare,,Vauxhall
41,Subaru Justy,2008,78000.0,1.0L,68.0,Manual,Petrol,2195,GC,Hatchback,F J Cars,Belfast,,Subaru
42,Nissan Qashqai,2016,64500.0,1.2L,113.0,Manual,Petrol,9499,GC,SUV,Charles Hurst Usedirect Newtownards,Newtownards,,Nissan
43,KIA Venga,2011,99385.0,1.4L,88.0,Manual,Petrol,2995,GC,MPV,NORTH DOWN MOTORS LTD,"Bangor, County Down",,KIA
44,Peugeot 508,2012,85262.0,1.6L,154.0,Manual,Petrol,5395,GC,Saloon,Auto Choice,Newtownards,,Peugeot
45,Volvo V50,2011,69000.0,2.0L,148.0,Manual,Diesel,5695,GC,Estate,Fc Motors,Newtownabbey,,Volvo
46,MINI Hatch,2010,55038.0,1.6L,97.0,Manual,Petrol,4850,GC,Hatchback,Auto Choice,Newtownards,,MINI
47,MINI Convertible,2008,86652.0,1.6L,114.0,Manual,Petrol,3995,GC,Convertible,weonlysellusedcars.com,"Bangor, County Down",,MINI
48,Fiat 500,2013,46135.0,1.2L,69.0,Manual,Petrol,6115,GC,Hatchback,Auto Choice,Newtownards,,Fiat
51,Audi A5,2017,41001.0,2.0L,187.0,Automatic,Petrol,18150,GC,Coupe,Belfast Audi,Belfast,,Audi
52,Audi A3,2020,36157.0,1.0L,108.0,Manual,Petrol,17990,GC,Hatchback,Belfast Audi,Belfast,,Audi
