,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location,plate,brand
4,Suzuki Swift,2007,4,67200.0,1.5L,101.0,Manual,Petrol,1295.0,GC,Hatchback,Charles Hurst Usedirect Budget Choice,Belfast,07,Suzuki
5,Vauxhall Astra,2009,4,78518.0,1.6L,113.0,Manual,Petrol,2490.0,GC,Hatchback,M J Motors,Belfast,59,Vauxhall
8,Nissan Qashqai,2013,2,133000.0,1.5L,110.0,Manual,Diesel,1995.0,Cat D,SUV,Fc Motors,Newtownabbey,63,Nissan
14,Ford Fiesta,2008,5,100557.0,1.4L,67.0,Manual,Diesel,2799.0,GC,Hatchback,RLW Cars,"Bangor, County Down",,Ford
15,MINI Hatch,2011,6,105000.0,2.0L,141.0,Manual,Diesel,4395.0,GC,Hatchback,P H Cars,Holywood,,MINI
16,Audi A5,2017,2,68352.0,2.0L,188.0,Manual,Diesel,15795.0,GC,Hatchback,Car Brothers NI,Newtownabbey,,Audi
17,Toyota Auris,2009,4,74060.0,1.33L,100.0,Manual,Petrol,2899.0,GC,Hatchback,RLW Cars,"Bangor, County Down",,Toyota
18,Mercedes-Benz C Class,2015,2,153000.0,1.6L,134.0,Manual,Diesel,6995.0,GC,Saloon,F J Cars,Belfast,,Mercedes-Benz
19,Volkswagen Golf,2016,9,76000.0,1.6L,108.0,Manual,Diesel,7000.0,Cat S,Hatchback,E Flynn Car Sales,Ballygowan,,Volkswagen
20,KIA Ceed,2010,3,86000.0,1.6L,113.0,Manual,Diesel,2995.0,GC,Hatchback,Fc Motors,Newtownabbey,,KIA
21,Audi A6 Saloon,2016,1,61300.0,2.0L,187.0,Manual,Diesel,12999.0,GC,Saloon,Charles Hurst Usedirect Newtownards,Newtownards,,Audi
22,Audi A4,2012,3,80000.0,2.0L,141.0,Manual,Diesel,8995.0,GC,Saloon,DB Automotive,Newtownabbey,,Audi
23,Vauxhall Adam,2013,3,50090.0,1.4L,99.0,Manual,Petrol,6625.0,GC,Hatchback,Auto Choice,Newtownards,,Vauxhall
24,Suzuki Swift,2010,4,47000.0,1.5L,101.0,Manual,Petrol,3495.0,GC,Hatchback,Richard Dorrian Cars,Bangor,,Suzuki
