,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
0,KIA Sportage,2018,N/A,"23,600 miles",1.6L,176PS,Manual,Petrol,"£16,990",N/A,SUV,Belfast Audi - See all 68 cars,Dealer locationBelfast
1,Vauxhall Astra,2007 (57 reg),Part service history,"119,000 miles",1.9L,118BHP,Automatic,Diesel,£995,N/A,Hatchback,Burch Autos - See all 30 cars,Dealer locationNewtownards
2,Citroen DS3,2012 (12 reg),N/A,"75,995 miles",1.6L,156BHP,Manual,Petrol,"£1,493",N/A,Hatchback,Auto Sales NI - See all cars,Dealer locationNewtownabbey
3,Audi A3,2007 (57 reg),N/A,"98,968 miles",2.0L,168BHP,Manual,Diesel,"£1,999",N/A,Hatchback,Clearly Cars - See all 17 cars,Dealer locationBelfast
4,Suzuki Swift,2007 (07 reg),4 owners,"67,200 miles",1.5L,101BHP,Manual,Petrol,"£1,295",N/A,Hatchback,Charles Hurst Usedirect Budget Choice - See all 28 cars,Dealer locationBelfast
5,Vauxhall Astra,2009 (59 reg),4 owners,"78,518 miles",1.6L,113BHP,Manual,Petrol,"£2,490",N/A,Hatchback,M J Motors - See all 17 cars,Dealer locationBelfast
6,Jaguar X-Type,2006 (06 reg),N/A,"98,000 miles",2.0L,130BHP,Manual,Diesel,£500,N/A,Saloon,Auto Choice - See all 59 cars,Dealer locationNewtownards
7,Vauxhall Corsa,2011 (61 reg),N/A,"94,000 miles",1.2L,85PS,Manual,Petrol,"£1,895",N/A,Hatchback,Danny Mcfall Car Sales - See all 6 cars,Dealer locationBallyclare
8,Nissan Qashqai,2013 (63 reg),2 owners,"133,000 miles",1.5L,110BHP,Manual,Diesel,"£1,995",Cat D,SUV,Fc Motors - See all 26 cars,Dealer locationNewtownabbey
9,Mercedes-Benz CLS,2005,N/A,"87,200 miles",5.0L,Automatic,Petrol,N/A,"£4,995",N/A,Saloon,RLW Cars - See all 4 cars,"Dealer locationBangor, County Down"
10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Grand Motors - See all 3 cars,Dealer locationBelfast
11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cat S,N/A,E Flynn Car Sales - See all 68 cars,Dealer locationBallygowan
12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Belfast Audi - See all 68 cars,Dealer locationBelfast
13,Audi Q5,2020,N/A,"21,000 miles",2.0L,190PS,Automatic,Diesel,"£34,990",N/A,SUV,Belfast Audi - See all 68 cars,Dealer locationBelfast
14,Ford Fiesta,2008,5 owners,"100,557 miles",1.4L,67BHP,Manual,Diesel,"£2,799",N/A,Hatchback,RLW Cars - See all 3 cars,"Dealer locationBangor, County Down"
15,MINI Hatch,2011,6 owners,"105,000 miles",2.0L,143PS,Manual,Diesel,"£4,395",N/A,Hatchback,P H Cars - See all 4 cars,Dealer locationHolywood
16,Audi A5,2017,2 owners,"68,352 miles",2.0L,188BHP,Manual,Diesel,"£15,795",N/A,Hatchback,Car Brothers NI - See all 45 cars,Dealer locationNewtownabbey
17,Toyota Auris,2009,4 owners,"74,060 miles",1.33L,100BHP,Manual,Petrol,"£2,899",N/A,Hatchback,RLW Cars - See all 3 cars,"Dealer locationBangor, County Down"
18,Mercedes-Benz C Class,2015,2 owners,"153,000 miles",1.6L,136PS,Manual,Diesel,"£6,995",N/A,Saloon,F J Cars - See all 3 cars,Dealer locationBelfast
19,Volkswagen Golf,2016,9 owners,"76,000 miles",1.6L,110PS,Manual,Diesel,"£7,000",Cat S,Hatchback,E Flynn Car Sales - See all 68 cars,Dealer locationBallygowan
20,KIA Ceed,2010,3 owners,"86,000 miles",1.6L,115PS,Manual,Diesel,"£2,995",N/A,Hatchback,Fc Motors - See all 26 cars,Dealer locationNewtownabbey
21,Audi A6 Saloon,2016,1 owner,"61,300 miles",2.0L,190PS,Manual,Diesel,"£12,999",N/A,Saloon,Charles Hurst Usedirect Newtownards - See all 40 cars,Dealer locationNewtownards
22,Audi A4,2012,3 owners,"80,000 miles",2.0L,143PS,Manual,Diesel,"£8,995",N/A,Saloon,DB Automotive - See all 6 cars,Dealer locationNewtownabbey
23,Vauxhall Adam,2013,3 owners,"50,090 miles",1.4L,100PS,Manual,Petrol,"£6,625",N/A,Hatchback,Auto Choice - See all 59 cars,Dealer locationNewtownards
24,Suzuki Swift,2010,4 owners,"47,000 miles",1.5L,101BHP,Manual,Petrol,"£3,495",N/A,Hatchback,Richard Dorrian Cars - See all 22 cars,Dealer locationBangor
25,Audi Q5,2020,N/A,"21,000 miles",2.0L,190PS,Automatic,Diesel,"£34,990",N/A,SUV,Belfast Audi - See all 68 cars,Dealer locationBelfast
26,Audi Q2,2017,N/A,"25,018 miles",1.6L,116PS,Manual,Diesel,"£16,450",N/A,SUV,Belfast Audi - See all 68 cars,Dealer locationBelfast
27,Audi A5,2013,N/A,"104,100 miles",1.8L,170BHP,Manual,Petrol,"£6,995",N/A,Coupe,Car Brothers NI - See all 45 cars,Dealer locationNewtownabbey
28,SKODA Yeti,2013,1 owner,"59,000 miles",2.0L,140PS,Manual,Diesel,"£8,995",N/A,SUV,PL Motors LTD - See all 20 cars,Dealer locationNewtownabbey
29,Suzuki Swift,2010,4 owners,"47,000 miles",1.5L,101BHP,Manual,Petrol,"£3,495",N/A,Hatchback,Richard Dorrian Cars - See all 22 cars,Dealer locationBangor
30,Ford Mondeo,2010,Part service history,"148,000 miles",1.8L,123BHP,Manual,Diesel,"£1,550",N/A,Hatchback,Danny Mcfall Car Sales - See all 6 cars,Dealer locationBallyclare
31,Volkswagen Polo,2018,N/A,"55,400 miles",1.0L,75PS,Manual,Petrol,"£10,795",N/A,Hatchback,Ballyrobert Mallusk - See all 99 cars,Dealer locationNewtownabbey
32,Vauxhall Corsa,2014,3 owners,"81,507 miles",1.2L,85PS,Manual,Petrol,"£3,499",N/A,Hatchback,RLW Cars - See all 4 cars,"Dealer locationBangor, County Down"
33,Vauxhall Corsa,2009,1 owner,"21,000 miles",1.2L,79BHP,Manual,Petrol,"£3,695",N/A,Hatchback,Fc Motors - See all 26 cars,Dealer locationNewtownabbey
34,Volkswagen Golf,2007,Part service history,"58,000 miles",1.4L,Manual,Petrol,1 owner,"£3,295",N/A,Hatchback,Fc Motors - See all 26 cars,Dealer locationNewtownabbey
35,Volkswagen Polo,2011,3 owners,"46,281 miles",1.2L,60PS,Manual,Petrol,"£6,850",N/A,Hatchback,HMK Car Sales Ltd - See all 8 cars,Dealer locationNewtownabbey
36,Mazda MX-5,1995,12 owners,"104,000 miles",1.8L,130BHP,Manual,Petrol,"£3,600",N/A,Convertible,,N/A
37,SEAT Toledo,2013,N/A,"59,768 miles",1.2L,Manual,Petrol,1 owner,"£5,865",N/A,Hatchback,Auto Choice - See all 59 cars,Dealer locationNewtownards
38,Audi Q2,2017,N/A,"25,018 miles",1.6L,116PS,Manual,Diesel,"£16,450",N/A,SUV,Belfast Audi - See all 68 cars,Dealer locationBelfast
39,Audi TT,2020,N/A,"2,806 miles",2.0L,197PS,Automatic,Petrol,"£27,150",N/A,Coupe,Belfast Audi - See all 68 cars,Dealer locationBelfast
40,Vauxhall Corsa,2014,3 owners,"87,000 miles",1.2L,85PS,Manual,Petrol,"£4,850",N/A,Hatchback,DYNAMIC VEHICLES NI LTD - See all 10 cars,Dealer locationBallyclare
41,Subaru Justy,2008,N/A,"78,000 miles",1.0L,68BHP,Manual,Petrol,"£2,195",N/A,Hatchback,F J Cars - See all 3 cars,Dealer locationBelfast
42,Nissan Qashqai,2016,1 owner,"64,500 miles",1.2L,115PS,Manual,Petrol,"£9,499",N/A,SUV,Charles Hurst Usedirect Newtownards - See all 40 cars,Dealer locationNewtownards
43,KIA Venga,2011,N/A,"99,385 miles",1.4L,88BHP,Manual,Petrol,"£2,995",N/A,MPV,NORTH DOWN MOTORS LTD - See all 49 cars,"Dealer locationBangor, County Down"
44,Peugeot 508,2012,Full service history,"85,262 miles",1.6L,156PS,Manual,Petrol,"£5,395",N/A,Saloon,Auto Choice - See all 59 cars,Dealer locationNewtownards
45,Volvo V50,2011,3 owners,"69,000 miles",2.0L,150PS,Manual,Diesel,"£5,695",N/A,Estate,Fc Motors - See all 26 cars,Dealer locationNewtownabbey
46,MINI Hatch,2010,2 owners,"55,038 miles",1.6L,98PS,Manual,Petrol,"£4,850",N/A,Hatchback,Auto Choice - See all 59 cars,Dealer locationNewtownards
47,MINI Convertible,2008,N/A,"86,652 miles",1.6L,114BHP,Manual,Petrol,"£3,995",N/A,Convertible,weonlysellusedcars.com - See all 20 cars,"Dealer locationBangor, County Down"
48,Fiat 500,2013,3 owners,"46,135 miles",1.2L,70PS,Manual,Petrol,"£6,115",N/A,Hatchback,Auto Choice - See all 59 cars,Dealer locationNewtownards
49,Toyota Aristo,1998,N/A,N/A,N/A,N/A,N/A,N/A,"£11,995",N/A,"80,294 miles",Auto Choice - See all 59 cars,Dealer locationNewtownards
50,Audi A4,2012,3 owners,"80,000 miles",2.0L,143PS,Manual,Diesel,"£8,995",N/A,Saloon,DB Automotive - See all 6 cars,Dealer locationNewtownabbey
51,Audi A5,2017,N/A,"41,001 miles",2.0L,190PS,Automatic,Petrol,"£18,150",N/A,Coupe,Belfast Audi - See all 68 cars,Dealer locationBelfast
52,Audi A3,2020,N/A,"36,157 miles",1.0L,110PS,Manual,Petrol,"£17,990",N/A,Hatchback,Belfast Audi - See all 68 cars,Dealer locationBelfast
