,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
0,Peugeot 208,2018 (68 reg),2 owners,"42,024 miles",1.2L,110PS,Manual,Petrol,"£9,580",N/A,Hatchback,Bristol Street Motors Peugeot Banbury - See all 33 cars,Dealer locationBanbury
1,Vauxhall Corsa,2006 (06 reg),4 owners,"75,000 miles",1.2L,79BHP,Manual,Petrol,£500,N/A,Hatchback,Tamworth Road Cars - See all 12 cars,Dealer locationNottingham
2,Mercedes-Benz C Class,2008 (08 reg),2 owners,"167,897 miles",2.1L,136PS,Automatic,Diesel,"£1,999",N/A,Saloon,Revolve Collections Ltd - See all 20 cars,Dealer locationBirmingham
3,SKODA Fabia,2009 (59 reg),3 owners,"90,113 miles",1.2L,70BHP,Manual,Petrol,£500,N/A,Hatchback,Star City Motors Ltd - See all 9 cars,Dealer locationBirmingham
4,Volkswagen Golf,2010 (10 reg),4 owners,"91,000 miles",1.4L,122PS,Automatic,Petrol,"£3,999",N/A,Hatchback,,N/A
5,Ford Fiesta,2007 (07 reg),7 owners,"99,000 miles",1.25L,74BHP,Manual,Petrol,"£1,290",N/A,Hatchback,A & S Motors - See all 25 cars,Dealer locationWalsall
6,Ford Fiesta,2007 (07 reg),4 owners,"111,875 miles",1.4L,79BHP,Manual,Petrol,£499,N/A,Hatchback,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
7,Peugeot 207,2012 (61 reg),4 owners,"81,000 miles",1.4L,75PS,Manual,Petrol,"£1,990",Cat N,Hatchback,A & S Motors - See all 25 cars,Dealer locationWalsall
8,Mazda MX-5,2004 (54 reg),4 owners,"131,848 miles",1.8L,146BHP,Manual,Petrol,£800,N/A,Convertible,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
9,Vauxhall Corsa,2012 (12 reg),3 owners,"97,000 miles",1.3L,75PS,Manual,Diesel,"£1,500",N/A,Hatchback,RJCS Cars Ltd - See all 32 cars,Dealer locationOldbury
10,Ford KA,2008 (08 reg),5 owners,"47,532 miles",1.3L,69BHP,Manual,Petrol,£499,N/A,Hatchback,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
11,Audi A4,2014 (64 reg),2 owners,"55,000 miles",1.8L,120PS,Manual,Petrol,"£9,995",N/A,Saloon,Acorn Approved Used Stone - See all 61 cars,Dealer locationStone
12,Mercedes-Benz A Class,2019 (69 reg),1 owner,"91,439 miles",1.5L,116PS,Automatic,Diesel,"£15,850",N/A,Saloon,Carsa - See all 193 cars,Dealer locationCollect from Loughborough
13,Vauxhall Corsa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
14,Nissan Juke,2020 (70 reg),N/A,"23,312 miles",1.0L,114PS,Manual,Petrol,"£16,750",N/A,SUV,Bristol Street Motors Ford West Brom - See all 49 cars,Dealer locationWest Bromwich
15,MINI Hatch,2002 (02 reg),N/A,"98,729 miles",1.6L,115PS,Automatic,Petrol,"£1,000",N/A,Hatchback,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
16,BMW 5 Series,2012 (12 reg),4 owners,"126,000 miles",2.0L,184PS,Automatic,Diesel,"£6,795",N/A,Saloon,LA Automotive - See all 19 cars,Dealer locationBirmingham
17,Vauxhall Signum,2005 (55 reg),N/A,"84,680 miles",2.2L,152BHP,Manual,Petrol,"£1,795",N/A,Hatchback,M5 Car Ltd - See all 39 cars,Dealer locationOldbury
18,Vauxhall Zafira,2009 (09 reg),N/A,"145,000 miles",1.6L,105PS,Manual,Petrol,£499,N/A,MPV,HRM Motors - See all 16 cars,Dealer locationBirmingham
19,Peugeot 208,2014 (14 reg),3 owners,"75,000 miles",1.6L,200PS,Manual,Petrol,"£2,500",N/A,Hatchback,UP Prestige - See all 50 cars,Dealer locationBridgnorth
20,Honda Accord,2011 (11 reg),N/A,"112,000 miles",2.2L,150PS,Manual,Diesel,"£2,490",N/A,Saloon,MI Motor Company - See all 7 cars,Dealer locationBirmingham
21,Vauxhall Astra,2010 (60 reg),N/A,"94,000 miles",1.4L,89BHP,Manual,Petrol,"£1,795",N/A,Hatchback,Carsmart Automotive Ltd - See all 9 cars,Dealer locationOldbury
22,Subaru Impreza,2001 (Y reg),N/A,"107,000 miles",2.0L,215BHP,Manual,Petrol,"£6,295",N/A,Saloon,LA Automotive - See all 19 cars,Dealer locationBirmingham
23,Toyota Yaris,2006 (55 reg),N/A,"175,000 miles",1.3L,85BHP,Manual,Petrol,£995,N/A,Hatchback,No. 1 CAR SALES - See all 8 cars,Dealer locationBirmingham
24,Renault Clio,2007 (56 reg),5 owners,"138,061 miles",1.4L,98BHP,Manual,Petrol,£850,N/A,Hatchback,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
25,Ford B-Max,2012 (62 reg),2 owners,"111,467 miles",1.0L,100PS,Manual,Petrol,"£1,000",N/A,MPV,Motor Plug - See all 28 cars,Dealer locationStockton On Tees
26,Nissan Juke,2020 (70 reg),N/A,"23,312 miles",1.0L,114PS,Manual,Petrol,"£16,750",N/A,SUV,Bristol Street Motors Ford West Brom - See all 49 cars,Dealer locationWest Bromwich
27,SEAT Arona,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
28,Vauxhall Astra,2019 (19 reg),1 owner,"72,926 miles",1.6L,108BHP,Manual,Diesel,"£8,299",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
