,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
0,Vauxhall Astra,2019 (19 reg),1 owner,"72,926 miles",1.6L,108BHP,Manual,Diesel,"£8,249",N/A,Hatchback,FRF Lexus Cardiff - See all 57 cars,Dealer locationCardiff
1,Vauxhall Astra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,£995,N/A,N/A,Barry Bangers - See all 20 cars,Dealer locationCardiff
2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TC Car Sales LTD - See all 16 cars,Dealer locationCardiff
3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Barry Bangers - See all 20 cars,Dealer locationCardiff
4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Barry Bangers - See all 20 cars,Dealer locationCardiff
5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Birchwood Motors Ltd - See all 27 cars,Dealer locationCardiff
6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cardiff Gate Motor Company - See all 13 cars,Dealer locationCardiff
8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cardiff Gate Motor Company - See all 13 cars,Dealer locationCardiff
9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Barry Bangers - See all 20 cars,Dealer locationCardiff
10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Birchwood Motors Ltd - See all 27 cars,Dealer locationCardiff
11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"CarShop, Swindon - See all 454 cars",Dealer locationCollect from Cardiff
12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FRF Lexus Cardiff - See all 57 cars,Dealer locationCardiff
13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
14,Dacia Duster,2019 (69 reg),Full dealership history,"11,000 miles",1.6L,115BHP,Manual,Petrol,"£13,699",N/A,SUV,Howe Motors Ltd - See all 56 cars,Dealer locationBarry
15,Vauxhall Corsa,2013 (13 reg),2 owners,"61,000 miles",1.6L,192PS,Manual,Petrol,"£5,995",N/A,Hatchback,Birchwood Motors Ltd - See all 26 cars,Dealer locationCardiff
16,Volkswagen Polo,2014 (14 reg),1 owner,"70,000 miles",1.4L,75PS,Manual,Diesel,"£6,450",N/A,Hatchback,A Costello - See all 8 cars,Dealer locationCardiff
17,Volkswagen Scirocco,2010 (10 reg),5 owners,"150,000 miles",2.0L,140PS,Automatic,Diesel,"£3,498",N/A,Hatchback,Barry Bangers - See all 20 cars,Dealer locationCardiff
18,Nissan Juke,2011 (61 reg),2 owners,"80,000 miles",1.6L,117PS,Manual,Petrol,"£3,998",N/A,SUV,Barry Bangers - See all 20 cars,Dealer locationCardiff
19,Peugeot 207 CC,2009 (09 reg),3 owners,"43,100 miles",1.6L,120BHP,Manual,Petrol,"£1,600",N/A,Convertible,,N/A
20,MINI Hatch,2007 (07 reg),N/A,"53,979 miles",1.4L,95PS,Manual,Petrol,"£2,995",N/A,Hatchback,Cardiff Gate Motor Company - See all 13 cars,Dealer locationCardiff
21,Vauxhall Corsa,2013 (13 reg),2 owners,"61,590 miles",1.4L,100PS,Manual,Petrol,"£2,650",N/A,Hatchback,,N/A
22,Nissan Note,2014 (14 reg),N/A,"117,165 miles",1.2L,98PS,Manual,Petrol,"£3,595",N/A,Hatchback,Cardiff Gate Motor Company - See all 13 cars,Dealer locationCardiff
23,Renault Megane,2011 (61 reg),3 owners,"89,000 miles",2.0L,250PS,Manual,Petrol,"£7,991",N/A,Coupe,Cute Club - See all 23 cars,Dealer locationBarry
24,Volkswagen Polo,2014 (14 reg),Part service history,"75,111 miles",1.2L,60PS,Manual,Petrol,"£5,999",N/A,Hatchback,RS CARS - See all 12 cars,Dealer locationPenarth
25,Vauxhall Corsa,2013 (13 reg),2 owners,"61,000 miles",1.6L,192PS,Manual,Petrol,"£5,995",N/A,Hatchback,Birchwood Motors Ltd - See all 26 cars,Dealer locationCardiff
26,Lexus NX 300h,2019 (69 reg),2 owners,"18,430 miles",2.5L,197PS,Automatic,Petrol Hybrid,"£27,995",N/A,SUV,FRF Lexus Cardiff - See all 57 cars,Dealer locationCardiff
27,KIA Proceed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
28,Audi S3,2019 (69 reg),N/A,"21,275 miles",2.0L,300PS,Automatic,Petrol,"£27,850",N/A,Hatchback,Cardiff Audi - See all 55 cars,Dealer locationCardiff
29,Ford Fiesta,2011 (60 reg),2 owners,"76,000 miles",1.25L,59BHP,Manual,Petrol,"£3,995",N/A,Hatchback,CF 11 CARS LTD - See all 14 cars,Dealer locationCardiff
30,Dacia Sandero Stepway,2014 (64 reg),3 owners,"52,000 miles",0.9L,90PS,Manual,Petrol,"£4,991",N/A,Hatchback,TC Car Sales LTD - See all 16 cars,Dealer locationCardiff
31,Ford Fiesta,2016 (65 reg),2 owners,"52,000 miles",1.0L,125PS,Manual,Petrol,"£7,495",N/A,Hatchback,Birchwood Motors Ltd - See all 26 cars,Dealer locationCardiff
32,Ford KA,2009 (59 reg),N/A,"76,475 miles",1.3L,69BHP,Manual,Petrol,"£2,295",N/A,Hatchback,Cardiff Gate Motor Company - See all 13 cars,Dealer locationCardiff
33,BMW 3 Series,2014 (64 reg),3 owners,"87,000 miles",2.0L,143PS,Manual,Diesel,"£8,495",N/A,Estate,Birchwood Motors Ltd - See all 26 cars,Dealer locationCardiff
34,Hyundai i10,2013 (63 reg),2 owners,"68,000 miles",1.2L,86PS,Manual,Petrol,"£3,650",N/A,Hatchback,A Costello - See all 8 cars,Dealer locationCardiff
35,Volkswagen Golf,2008 (58 reg),N/A,"138,000 miles",2.0L,138BHP,Manual,Diesel,"£2,995",N/A,Hatchback,TC Car Sales LTD - See all 16 cars,Dealer locationCardiff
36,MINI Hatch,2010 (10 reg),N/A,"71,090 miles",1.6L,208BHP,Manual,Petrol,"£9,991",N/A,Hatchback,Cardiff Trade Sales - See all 60 cars,Dealer locationCardiff
37,Volvo S80,2008 (08 reg),2 owners,"105,626 miles",2.0L,145BHP,Manual,Petrol,"£3,790",N/A,Saloon,Tim Hayward Car Sales Limited - See all 42 cars,Dealer locationPenarth
38,MINI Hatch,2013 (63 reg),N/A,"61,162 miles",1.6L,122PS,Manual,Petrol,"£6,991",N/A,Hatchback,Greenaway Autos Ltd - See all 43 cars,Dealer locationPontypridd
39,Volvo S80,2008 (08 reg),2 owners,"105,626 miles",2.0L,145BHP,Manual,Petrol,"£3,790",N/A,Saloon,Tim Hayward Car Sales Limited - See all 42 cars,Dealer locationPenarth
40,Lexus NX 300h,2019 (69 reg),2 owners,"18,430 miles",2.5L,197PS,Automatic,Petrol Hybrid,"£27,995",N/A,SUV,FRF Lexus Cardiff - See all 57 cars,Dealer locationCardiff
41,Citroen C4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
42,Audi S3,2019 (19 reg),N/A,"26,842 miles",2.0L,300PS,Automatic,Petrol,"£27,850",N/A,Hatchback,Cardiff Audi - See all 55 cars,Dealer locationCardiff
43,Vauxhall Corsa,2013 (13 reg),1 owner,"48,011 miles",1.3L,75PS,Manual,Diesel,"£4,991",N/A,Hatchback,Cardiff Honda - See all 73 cars,Dealer locationCardiff
44,Audi A3,2010 (10 reg),N/A,"103,931 miles",2.0L,170PS,Manual,Diesel,"£3,495",N/A,Hatchback,Cardiff Gate Motor Company - See all 13 cars,Dealer locationCardiff
45,Renault Grand Modus,2008 (08 reg),N/A,"69,525 miles",1.5L,85PS,Manual,Diesel,"£1,995",N/A,MPV,Cardiff Gate Motor Company - See all 13 cars,Dealer locationCardiff
46,Volkswagen Polo,2013 (13 reg),Full service history,"62,111 miles",1.4L,85PS,Manual,Petrol,"£6,499",N/A,Hatchback,RS CARS - See all 12 cars,Dealer locationPenarth
47,MINI Hatch,2013 (13 reg),2 owners,"84,037 miles",2.0L,143PS,Manual,Diesel,"£5,480",N/A,Hatchback,,N/A
48,Mercedes-Benz C Class,2011 (61 reg),5 owners,"95,508 miles",2.1L,136PS,Automatic,Diesel,"£5,300",N/A,Saloon,,N/A
49,Honda Civic,2000,N/A,"53,300 miles",1.6L,Petrol,N/A,N/A,"£4,995",N/A,Hatchback,,N/A
50,Audi A3,2013 (62 reg),2 owners,"159,000 miles",1.6L,105PS,Manual,Diesel,"£2,499",N/A,Hatchback,Barry Bangers - See all 20 cars,Dealer locationCardiff
51,MINI Hatch,2014 (64 reg),2 owners,"88,000 miles",1.2L,102PS,Manual,Petrol,"£5,995",N/A,Hatchback,Birchwood Motors Ltd - See all 27 cars,Dealer locationCardiff
52,Jaguar XF,2008 (08 reg),5 owners,"99,893 miles",2.7L,207PS,Automatic,Diesel,"£1,750",N/A,Saloon,,N/A
53,Vauxhall Meriva,2011 (61 reg),3 owners,"72,000 miles",1.4L,100PS,Manual,Petrol,"£3,295",N/A,MPV,Birchwood Motors Ltd - See all 27 cars,Dealer locationCardiff
54,MINI Electric,2021 (71 reg),N/A,"18,928 miles",181BHP,Automatic,Electric,1 owner,"£19,690",N/A,Hatchback,Howe Motors Ltd - See all 56 cars,Dealer locationBarry
55,Nissan Qashqai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
56,Audi A3,2020 (70 reg),N/A,"49,512 miles",1.5L,150PS,Manual,Petrol,"£21,000",N/A,Hatchback,Cardiff Audi - See all 55 cars,Dealer locationCardiff
57,Toyota Corolla,2019 (19 reg),1 owner,"93,016 miles",1.8L,120BHP,Automatic,Petrol Hybrid,"£13,991",N/A,Estate,Cardiff Trade Sales - See all 60 cars,Dealer locationCardiff
58,Peugeot 308,2012 (61 reg),3 owners,"69,600 miles",1.6L,112PS,Manual,Diesel,"£2,900",N/A,Hatchback,,N/A
59,Renault Wind,2012 (12 reg),2 owners,"35,047 miles",1.6L,133PS,Manual,Petrol,"£6,291",N/A,Convertible,Renault Cardiff - See all 184 cars,Dealer locationCardiff
60,Citroen C1,2016 (66 reg),3 owners,"27,000 miles",1.0L,68PS,Manual,Petrol,"£5,995",N/A,Hatchback,Birchwood Motors Ltd - See all 27 cars,Dealer locationCardiff
61,Nissan Qashqai,2014 (14 reg),N/A,"129,944 miles",1.5L,110PS,Manual,Diesel,"£5,495",N/A,SUV,Cardiff Gate Motor Company - See all 13 cars,Dealer locationCardiff
62,BMW 3 Series,2003 (03 reg),2 owners,"73,829 miles",2.9L,181BHP,Automatic,Diesel,"£6,980",N/A,Saloon,Tim Hayward Car Sales Limited - See all 43 cars,Dealer locationPenarth
63,Ford Fiesta,2015 (15 reg),N/A,"51,000 miles",1.0L,140PS,Manual,Petrol,"£4,998",Cat S,Hatchback,Barry Bangers - See all 20 cars,Dealer locationCardiff
64,Ssangyong Turismo,2015 (65 reg),2 owners,"62,000 miles",2.0L,155PS,Automatic,Diesel,"£9,495",N/A,MPV,Birchwood Motors Ltd - See all 27 cars,Dealer locationCardiff
65,Land Rover Range Rover Evoque,2011 (61 reg),5 owners,"75,000 miles",2.2L,190PS,Automatic,Diesel,"£11,995",N/A,Coupe,Birchwood Motors Ltd - See all 27 cars,Dealer locationCardiff
66,Renault Twizy,2015 (15 reg),N/A,"12,122 miles",17BHP,Automatic,Electric,2 owners,"£6,495",N/A,Coupe,S R Motors - See all 10 cars,Dealer locationPenarth
67,Volvo S80,2008 (08 reg),2 owners,"105,626 miles",2.0L,145BHP,Manual,Petrol,"£3,790",N/A,Saloon,Tim Hayward Car Sales Limited - See all 43 cars,Dealer locationPenarth
68,Audi A3,2020 (70 reg),N/A,"49,512 miles",1.5L,150PS,Manual,Petrol,"£21,000",N/A,Hatchback,Cardiff Audi - See all 55 cars,Dealer locationCardiff
69,SKODA Octavia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
70,Volkswagen Golf Sv,2019 (19 reg),3 owners,"42,007 miles",1.5L,130PS,Manual,Petrol,"£13,150",N/A,MPV,FRF Lexus Cardiff - See all 57 cars,Dealer locationCardiff
71,Mercedes-Benz E Class,2014 (64 reg),4 owners,"78,654 miles",2.1L,170PS,Automatic,Diesel,"£9,290",N/A,Coupe,P W Millar Ford - See all 125 cars,Dealer locationBarry
72,BMW 3 Series,2013 (13 reg),2 owners,"67,358 miles",2.0L,114BHP,Manual,Diesel,"£7,991",N/A,Saloon,Cardiff Trade Sales - See all 60 cars,Dealer locationCardiff
73,Vauxhall Insignia,2011 (61 reg),4 owners,"105,000 miles",2.0L,160PS,Manual,Diesel,"£2,695",N/A,Hatchback,TC Car Sales LTD - See all 16 cars,Dealer locationCardiff
74,SKODA Octavia,2013 (63 reg),2 owners,"110,000 miles",1.6L,105PS,Manual,Diesel,"£5,000",N/A,Hatchback,A Costello - See all 8 cars,Dealer locationCardiff
75,Mercedes-Benz S Class,2007 (07 reg),2 owners,"83,020 miles",3.0L,228BHP,Automatic,Petrol,"£7,980",N/A,Saloon,Tim Hayward Car Sales Limited - See all 43 cars,Dealer locationPenarth
76,Fiat 500L,2013 (13 reg),3 owners,"110,000 miles",1.4L,96PS,Manual,Petrol,"£3,995",N/A,MPV,Birchwood Motors Ltd - See all 27 cars,Dealer locationCardiff
77,Nissan Qashqai,2015 (15 reg),5 owners,"77,971 miles",1.2L,115PS,Manual,Petrol,"£6,995",N/A,SUV,,N/A
78,Mercedes-Benz S Class,2009 (59 reg),Full service history,"69,380 miles",3.0L,235BHP,Automatic,Diesel,"£8,980",N/A,Saloon,Tim Hayward Car Sales Limited - See all 43 cars,Dealer locationPenarth
79,Peugeot Partner Tepee,2016 (65 reg),2 owners,"72,000 miles",1.6L,99PS,Manual,Diesel,"£8,995",N/A,MPV,Birchwood Motors Ltd - See all 27 cars,Dealer locationCardiff
80,Ford Fiesta,2017 (17 reg),2 owners,"98,001 miles",1.0L,100PS,Manual,Petrol,"£4,850",N/A,Hatchback,,N/A
81,Hyundai i30,2016 (66 reg),N/A,"63,758 miles",1.6L,109PS,Manual,Diesel,"£8,000",N/A,Hatchback,CarShop Doncaster - See all 290 cars,Dealer locationCollect from Cardiff
82,Volkswagen Golf Sv,2019 (19 reg),3 owners,"42,007 miles",1.5L,130PS,Manual,Petrol,"£13,150",N/A,MPV,FRF Lexus Cardiff - See all 57 cars,Dealer locationCardiff
83,Volkswagen Passat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
84,Audi A5,2020 (20 reg),N/A,"25,326 miles",2.0L,163PS,Automatic,Diesel,"£26,850",N/A,Hatchback,Cardiff Audi - See all 55 cars,Dealer locationCardiff
85,Saab 9-3,2008 (08 reg),4 owners,"134,500 miles",2.8L,280PS,Manual,Petrol,"£6,500",N/A,Saloon,,N/A
86,Jaguar S-Type,2007 (07 reg),N/A,"79,000 miles",2.7L,206BHP,Manual,Diesel,"£5,495",N/A,Saloon,Cardiff Car Sales - See all 37 cars,Dealer locationCardiff
87,Vauxhall Adam,2013 (63 reg),N/A,"68,022 miles",1.2L,69BHP,Manual,Petrol,"£4,490",N/A,Hatchback,Ab Car Sales Ltd - See all 80 cars,Dealer locationBarry
88,Ford Fiesta,2016 (66 reg),2 owners,"76,795 miles",1.5L,93BHP,Manual,Diesel,"£7,690",N/A,Hatchback,Ab Car Sales Ltd - See all 80 cars,Dealer locationBarry
89,Toyota Aygo,2016 (16 reg),Part service history,"68,111 miles",1.0L,68PS,Manual,Petrol,"£5,915",N/A,Hatchback,RS CARS - See all 12 cars,Dealer locationPenarth
90,Renault Clio,2013 (63 reg),2 owners,"79,201 miles",1.2L,75PS,Manual,Petrol,"£4,991",N/A,Hatchback,Cute Club - See all 23 cars,Dealer locationBarry
91,KIA Picanto,2011 (61 reg),4 owners,"86,000 miles",1.0L,69PS,Manual,Petrol,"£2,850",N/A,Hatchback,,N/A
92,Jaguar XF,2014 (14 reg),2 owners,"86,047 miles",3.0L,275BHP,Automatic,Diesel,"£10,990",N/A,Saloon,Ab Car Sales Ltd - See all 80 cars,Dealer locationBarry
