,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
0,Nissan Qashqai,2019 (19 reg),1 owner,"27,067 miles",1.3L,140PS,Manual,Petrol,"£17,995",N/A,SUV,Western Nissan Edinburgh - See all 91 cars,Dealer locationNewbridge
1,BMW 3 Series,2009 (09 reg),N/A,"138,000 miles",2.0L,143PS,Automatic,Diesel,"£2,000",N/A,Saloon,Elite Cars (Scotland) Ltd - See all 17 cars,Dealer locationWishaw
2,Jaguar X-Type,2006 (06 reg),N/A,"98,000 miles",2.0L,130BHP,Manual,Diesel,£500,N/A,Saloon,North East Part Exchange Centre - See all 44 cars,Dealer locationGateshead
3,Vauxhall Antara,2012 (62 reg),2 owners,"88,000 miles",2.2L,163PS,Manual,Diesel,£750,N/A,SUV,,N/A
4,Ford Mondeo,2007 (57 reg),4 owners,"93,000 miles",2.0L,138BHP,Manual,Diesel,"£1,895",N/A,Hatchback,Money Talks Cars - See all 12 cars,Dealer locationGlasgow
5,Vauxhall Zafira,2005 (55 reg),N/A,"108,000 miles",1.6L,99BHP,Manual,Petrol,£600,N/A,MPV,Drumgray Vehicles - See all 30 cars,Dealer locationAirdrie
6,Renault ZOE,2015 (15 reg),N/A,"45,000 miles",89PS,Automatic,Electric,N/A,"£2,495",N/A,Hatchback,Kennedy Cars - See all 19 cars,Dealer locationGlasgow
7,MINI Hatch,2009,5 owners,"129,000 miles",1.4L,75PS,Manual,Petrol,£650,Cat N,Hatchback,J26 Car Sales - See all 21 cars,Dealer locationBallymena
8,Peugeot 207,2009 (09 reg),9 owners,"66,000 miles",1.4L,75BHP,Manual,Petrol,"£1,695",N/A,Hatchback,Money Talks Cars - See all 12 cars,Dealer locationGlasgow
9,Ford Focus,2009 (09 reg),7 owners,"141,000 miles",1.6L,108BHP,Manual,Diesel,£595,N/A,Hatchback,Sm Car Sales - See all 51 cars,Dealer locationMorecambe
10,Ford Scorpio,1996 (P reg),N/A,"58,055 miles",2.9L,Automatic,Petrol,Part service history,"£1,495",N/A,Saloon,Lanarkshire Car Sales Ltd - See all 71 cars,Dealer locationMotherwell
11,Nissan Juke,2015 (15 reg),N/A,"40,823 miles",1.5L,110PS,Manual,Diesel,"£6,495",N/A,SUV,Struans Mazda Perth - See all 52 cars,Dealer locationPerth
12,Nissan Qashqai,2022 (22 reg),N/A,"17,432 miles",1.3L,140PS,Manual,Petrol Hybrid,"£20,995",N/A,SUV,Macklin Motors Nissan Glasgow Central - See all 33 cars,Dealer locationGlasgow
13,Vauxhall Corsa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
14,Vauxhall Corsa,2019 (69 reg),2 owners,"30,108 miles",1.2L,100PS,Manual,Petrol,"£12,500",N/A,Hatchback,Peter Vardy CARZ / Prestige & Performance / ORA Motherwell - See all 243 cars,Dealer locationMotherwell
15,Subaru Impreza,2003 (53 reg),N/A,"137,000 miles",2.0L,221BHP,Manual,Petrol,"£1,000",N/A,Hatchback,,N/A
