,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
0,Nissan Juke,2020 (70 reg),N/A,"5,524 miles",1.0L,114PS,Manual,Petrol,"£16,302",N/A,SUV,Bristol Street Motors Nissan Derby - See all 31 cars,Dealer locationDerby
1,Vauxhall Corsa,2006 (06 reg),4 owners,"75,000 miles",1.2L,79BHP,Manual,Petrol,£500,N/A,Hatchback,Tamworth Road Cars - See all 12 cars,Dealer locationNottingham
2,Renault Wind,2011 (11 reg),Part service history,"58,741 miles",1.2L,100PS,Manual,Petrol,"£1,995",Cat D,Convertible,First Choice Car Sales - See all 22 cars,Dealer locationLiverpool
3,Vauxhall Corsa,2008 (08 reg),1 owner,"77,000 miles",1.2L,79BHP,Manual,Petrol,"£1,995",N/A,Hatchback,Drivehub Ltd - See all 19 cars,Dealer locationRochdale
4,Ford Focus,2009 (09 reg),7 owners,"141,000 miles",1.6L,108BHP,Manual,Diesel,£595,N/A,Hatchback,Sm Car Sales - See all 51 cars,Dealer locationMorecambe
5,Audi A3,2009 (59 reg),3 owners,"148,020 miles",2.0L,138BHP,Automatic,Diesel,"£3,290",N/A,Hatchback,Alpha Motors - See all 67 cars,Dealer locationWigan
6,Honda Accord,2010 (10 reg),N/A,"319,000 miles",2.0L,156PS,Manual,Petrol,£995,Cat S,Saloon,Clifby Motor Centre - See all 24 cars,Dealer locationHalifax
7,Volkswagen Golf,2007 (07 reg),4 owners,"133,203 miles",1.4L,79BHP,Manual,Petrol,£775,N/A,Hatchback,,N/A
8,Mercedes-Benz C Class,2008 (08 reg),2 owners,"167,897 miles",2.1L,136PS,Automatic,Diesel,"£1,999",N/A,Saloon,Revolve Collections Ltd - See all 19 cars,Dealer locationBirmingham
9,Ford Fiesta,2007 (07 reg),7 owners,"99,000 miles",1.25L,74BHP,Manual,Petrol,"£1,290",N/A,Hatchback,A & S Motors - See all 25 cars,Dealer locationWalsall
10,Volkswagen Golf,2007 (07 reg),N/A,"123,000 miles",1.9L,103BHP,Manual,Diesel,£850,N/A,Hatchback,Pavilion Motors - See all 176 cars,Dealer locationOldham
11,Vauxhall Corsa,2010 (10 reg),5 owners,"63,147 miles",1.4L,99BHP,Manual,Petrol,"£2,650",N/A,Hatchback,DEALZONWHEELZ LTD - See all 10 cars,Dealer locationLeeds
12,Nissan Juke,2020 (70 reg),N/A,"5,524 miles",1.0L,114PS,Manual,Petrol,"£16,302",N/A,SUV,Bristol Street Motors Nissan Derby - See all 31 cars,Dealer locationDerby
13,Vauxhall Corsa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
14,Nissan Juke,2017 (17 reg),Full service history,"31,077 miles",1.2L,115BHP,Manual,Petrol,"£11,790",N/A,SUV,Dace Specialist Car Centre - Trading Standards Approved - See all 137 cars,Dealer locationStockport
15,Volkswagen Golf,2010 (10 reg),4 owners,"91,000 miles",1.4L,122PS,Automatic,Petrol,"£3,999",N/A,Hatchback,,N/A
16,SKODA Fabia,2009 (59 reg),3 owners,"90,113 miles",1.2L,70BHP,Manual,Petrol,£500,N/A,Hatchback,Star City Motors Ltd - See all 9 cars,Dealer locationBirmingham
17,Ford Focus,2010 (10 reg),Part service history,"111,741 miles",1.8L,123BHP,Manual,Petrol,"£1,795",N/A,Hatchback,First Choice Car Sales - See all 22 cars,Dealer locationLiverpool
18,Subaru Impreza,2006 (56 reg),N/A,"65,000 miles",2.0L,158BHP,Manual,Petrol,"£4,995",N/A,Saloon,Wyke Motors - See all 23 cars,Dealer locationBradford
19,Mazda3,2016 (16 reg),3 owners,"99,500 miles",2.2L,150PS,Manual,Diesel,"£2,495",Cat C,Hatchback,PCS Piccadilly Car Sales LTD - See all 47 cars,Dealer locationWakefield
20,Ford Fiesta,2007 (07 reg),4 owners,"111,875 miles",1.4L,79BHP,Manual,Petrol,£499,N/A,Hatchback,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
21,Mercedes-Benz C Class,2004 (54 reg),No service history,"205,008 miles",2.1L,122BHP,Manual,Diesel,£799,N/A,Estate,The One Stop Motor Shop - See all 21 cars,Dealer locationBlackburn
22,Hyundai Atoz,1999 (V reg),N/A,"100,000 miles",1.0L,55BHP,Manual,Petrol,£300,N/A,Hatchback,Castle Motors - See all 19 cars,Dealer locationLeeds
23,Fiat 500,2010 (10 reg),4 owners,"102,000 miles",1.2L,70PS,Manual,Petrol,"£2,450",N/A,Hatchback,North Car Sales - See all 11 cars,Dealer locationCheadle
24,MINI Hatch,2006 (06 reg),N/A,"107,390 miles",1.6L,118PS,Manual,Petrol,£500,N/A,Hatchback,J.A Motors Ltd - See all 42 cars,Dealer locationKeighley
25,Hyundai i20,2009 (09 reg),4 owners,"105,472 miles",1.2L,78PS,Manual,Petrol,"£1,850",N/A,Hatchback,Motor Stores - See all 84 cars,Dealer locationLiverpool
26,Nissan Juke,2017 (17 reg),Full service history,"31,077 miles",1.2L,115BHP,Manual,Petrol,"£11,790",N/A,SUV,Dace Specialist Car Centre - Trading Standards Approved - See all 137 cars,Dealer locationStockport
27,SEAT Arona,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
28,Vauxhall Mokka X,2019 (69 reg),N/A,"30,262 miles",1.4L,140PS,Manual,Petrol,"£12,200",N/A,SUV,Perrys Huddersfield - See all 99 cars,Dealer locationHuddersfield
29,Peugeot 208,2014 (14 reg),3 owners,"75,000 miles",1.6L,200PS,Manual,Petrol,"£2,500",N/A,Hatchback,UP Prestige - See all 48 cars,Dealer locationBridgnorth
30,Peugeot 207,2012 (61 reg),4 owners,"81,000 miles",1.4L,75PS,Manual,Petrol,"£1,990",Cat N,Hatchback,A & S Motors - See all 25 cars,Dealer locationWalsall
