,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
0,SKODA Fabia,2019 (69 reg),2 owners,"28,940 miles",1.0L,59BHP,Manual,Petrol,"£9,949",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 312 cars,Dealer locationMilton Keynes
1,Vauxhall Astra,2007 (57 reg),Part service history,"119,000 miles",1.9L,118BHP,Automatic,Diesel,£995,N/A,Hatchback,Heritage Auto Factors - See all 22 cars,Dealer locationLuton
2,Vauxhall Tigra,2006 (06 reg),N/A,"131,000 miles",1.4L,89BHP,Manual,Petrol,£495,N/A,Convertible,Auto Atlas Limited - See all 18 cars,Dealer locationLeighton Buzzard
3,Hyundai i30,2011 (61 reg),N/A,"130,000 miles",1.4L,110PS,Manual,Petrol,£949,N/A,Hatchback,Stevenage Cars - See all 85 cars,Dealer locationStevenage
4,Toyota Yaris,2004 (54 reg),3 owners,"119,548 miles",1.3L,85BHP,Manual,Petrol,£795,Cat S,Hatchback,Sandy Cars - See all 44 cars,Dealer locationSandy
5,Vauxhall Corsa,2011 (61 reg),N/A,"94,000 miles",1.2L,85PS,Manual,Petrol,"£1,895",N/A,Hatchback,,N/A
6,BMW 1 Series,2010 (60 reg),N/A,"72,000 miles",2.0L,143PS,Manual,Petrol,"£1,850",N/A,Hatchback,A6 Motors Ltd - See all 152 cars,Dealer locationBedford
7,Audi A4,2010 (10 reg),3 owners,"79,000 miles",1.8L,120PS,Manual,Petrol,"£4,750",N/A,Saloon,CARS IN MK LTD - See all 19 cars,Dealer locationMilton Keynes
8,Saab 9-3,2006 (56 reg),4 owners,"85,000 miles",1.9L,150BHP,Automatic,Diesel,"£1,995",Cat S,Convertible,United Cars Limited - See all 51 cars,Dealer locationLuton
9,MINI Hatch,2005 (05 reg),N/A,"101,000 miles",1.6L,115PS,Manual,Petrol,"£1,195",N/A,Hatchback,Empire Cars - See all 70 cars,Dealer locationBedford
10,BMW 3 Series,2007 (07 reg),6 owners,"144,460 miles",2.0L,163PS,Manual,Diesel,"£1,200",N/A,Saloon,,N/A
11,Peugeot 308,2009 (09 reg),N/A,"79,000 miles",1.4L,95BHP,Manual,Petrol,"£1,195",N/A,Hatchback,ESP CARS BEDFORD - See all 24 cars,Dealer locationBedford
12,Peugeot 208,2020 (20 reg),N/A,N/A,N/A,N/A,N/A,N/A,"£10,100",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 312 cars,Dealer locationMilton Keynes
13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
14,Peugeot 308,2018 (68 reg),Full service history,"33,481 miles",1.5L,128BHP,Manual,Diesel,"£11,049",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 312 cars,Dealer locationMilton Keynes
15,Citroen DS3,2012 (62 reg),3 owners,"70,259 miles",1.6L,120PS,Manual,Petrol,"£1,990",N/A,Hatchback,United Cars Limited - See all 51 cars,Dealer locationLuton
16,Fiat Doblo,2010 (60 reg),4 owners,"134,000 miles",1.6L,105BHP,Manual,Diesel,"£1,395",N/A,Estate,Enigma Car And Van Sales - See all 7 cars,Dealer locationMilton Keynes
17,Vauxhall Astra,2006 (06 reg),Part service history,"115,522 miles",1.4L,89BHP,Manual,Petrol,£995,N/A,Hatchback,D&D UK CARS LIMITED - See all 18 cars,Dealer locationLuton
18,Vauxhall Astra,2009 (09 reg),N/A,"73,000 miles",1.4L,89BHP,Manual,Petrol,"£1,895",N/A,Hatchback,Regis Car Sales Ltd - See all 27 cars,Dealer locationDunstable
19,Vauxhall Astra,2006 (56 reg),N/A,"122,000 miles",1.6L,103BHP,Manual,Petrol,"£1,390",N/A,Hatchback,Auto Globe Limited - See all 113 cars,Dealer locationMilton Keynes
20,MINI Hatch,2004 (54 reg),N/A,"78,000 miles",1.6L,90PS,Manual,Petrol,"£1,990",N/A,Hatchback,Prestigio Cars Ltd - See all 79 cars,Dealer locationBedford
21,Fiat Punto Evo,2011 (11 reg),2 owners,"97,000 miles",1.4L,137PS,Manual,Petrol,"£2,250",N/A,Hatchback,Power Car Sales Ltd - See all 12 cars,Dealer locationBedford
22,Mazda3,2010 (10 reg),N/A,"146,000 miles",1.6L,109PS,Manual,Diesel,"£1,190",N/A,Hatchback,Eden Motors - See all 56 cars,Dealer locationLuton
23,Vauxhall Astra,2004 (54 reg),Part service history,"98,000 miles",1.6L,103BHP,Automatic,Petrol,"£1,790",N/A,Hatchback,space motors - See all 24 cars,Dealer locationLuton
24,Ford Mondeo,2014 (14 reg),2 owners,"220,000 miles",1.6L,115PS,Manual,Diesel,£990,Cat S,Hatchback,Eden Motors - See all 56 cars,Dealer locationLuton
25,Vauxhall Corsa,2012 (12 reg),N/A,"99,000 miles",1.4L,100PS,Automatic,Petrol,"£3,995",N/A,Hatchback,ZAMIN MOTORS LTD - See all 34 cars,Dealer locationBedford
26,Vauxhall Grandland X,2018 (68 reg),Full service history,"75,854 miles",1.5L,129BHP,Manual,Diesel,"£11,049",N/A,SUV,Hilton Car Supermarket Milton Keynes - See all 312 cars,Dealer locationMilton Keynes
27,KIA Proceed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
28,Vauxhall Astra,2019 (19 reg),1 owner,"72,926 miles",1.6L,108BHP,Manual,Diesel,"£8,249",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 312 cars,Dealer locationMilton Keynes
29,Ford Fiesta,2003 (53 reg),2 owners,"168,526 miles",1.25L,74BHP,Manual,Petrol,£450,N/A,Hatchback,Heritage Auto Factors - See all 22 cars,Dealer locationLuton
30,Vauxhall Astra,2012 (12 reg),4 owners,"109,037 miles",1.7L,110PS,Manual,Diesel,"£1,495",N/A,Hatchback,HITCHIN MOTOR SALES LTD - See all 38 cars,Dealer locationHitchin
31,Vauxhall Astra,2008 (08 reg),1 owner,"78,780 miles",1.8L,140BHP,Manual,Petrol,"£2,495",N/A,Hatchback,Classic Automotive - See all 35 cars,Dealer locationMilton Keynes
32,Volkswagen Golf,2005 (55 reg),4 owners,"112,000 miles",1.9L,103BHP,Automatic,Diesel,"£1,990",N/A,Hatchback,CAR CITY (LUTON) LIMITED - See all 112 cars,Dealer locationLuton
33,KIA Soul,2012 (12 reg),2 owners,"71,000 miles",1.6L,128PS,Manual,Diesel,"£2,500",N/A,SUV,WFH Carsales - See all 8 cars,Dealer locationBedford
34,Peugeot 208,2013 (63 reg),N/A,"92,000 miles",1.0L,68PS,Manual,Petrol,"£3,000",N/A,Hatchback,Indus Motors Ltd - See all 42 cars,Dealer locationMilton Keynes
35,Peugeot 207,2006 (06 reg),5 owners,"80,200 miles",1.4L,90BHP,Manual,Petrol,"£1,250",N/A,Hatchback,EMQ Kars - See all 60 cars,Dealer locationLeighton Buzzard
36,Vauxhall Vectra,2006 (56 reg),4 owners,"153,225 miles",1.8L,138BHP,Manual,Petrol,"£1,250",N/A,Hatchback,Heritage Auto Factors - See all 22 cars,Dealer locationLuton
37,Volkswagen Golf,2008 (08 reg),N/A,"116,000 miles",1.6L,113BHP,Manual,Petrol,"£1,690",Cat C,Hatchback,FN CARZ - See all 19 cars,Dealer locationSandy
38,Volkswagen Golf,2011 (60 reg),Part service history,"166,242 miles",1.6L,90PS,Manual,Diesel,"£1,900",N/A,Hatchback,D&D UK CARS LIMITED - See all 18 cars,Dealer locationLuton
