,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
0,Vauxhall Corsa,2021 (70 reg),1 owner,"46,564 miles",1.2L,99BHP,Manual,Petrol,"£10,900",N/A,Hatchback,Eden Vauxhall Oxford - See all 58 cars,Dealer locationOxford
1,Vauxhall Astra,2007 (57 reg),Part service history,"119,000 miles",1.9L,118BHP,Automatic,Diesel,£995,N/A,Hatchback,Premier Cars of Thame - See all 21 cars,Dealer locationThame
2,Vauxhall Tigra,2006 (06 reg),N/A,"131,000 miles",1.4L,89BHP,Manual,Petrol,£495,N/A,Convertible,Premier Cars of Thame - See all 21 cars,Dealer locationThame
3,Vauxhall Corsa,2011 (61 reg),N/A,"94,000 miles",1.2L,85PS,Manual,Petrol,"£1,895",N/A,Hatchback,Trade Price Car Sales - See all 31 cars,Dealer locationHigh Wycombe
4,Hyundai i30,2011 (61 reg),N/A,"130,000 miles",1.4L,110PS,Manual,Petrol,£949,N/A,Hatchback,Classic Automotive - See all 35 cars,N/A
5,Audi A4,2010 (10 reg),3 owners,"79,000 miles",1.8L,120PS,Manual,Petrol,"£4,750",N/A,Saloon,Best Quality Cars Ltd - See all 54 cars,Dealer locationAbingdon
6,Toyota Yaris,2004 (54 reg),3 owners,"119,548 miles",1.3L,85BHP,Manual,Petrol,£795,N/A,Hatchback,P.S. Ponting Ltd - See all 50 cars,Dealer locationBanbury
7,MINI Hatch,2005 (05 reg),N/A,"101,000 miles",1.6L,115PS,Manual,Petrol,"£1,195",N/A,Hatchback,Autoclick - See all 119 cars,N/A
8,BMW 3 Series,2003 (03 reg),N/A,"102,000 miles",2.0L,143BHP,Automatic,Petrol,£500,N/A,Hatchback,Toot Toot - See all 19 cars,Dealer locationHenley On Thames
9,BMW 1 Series,2010 (60 reg),N/A,"72,000 miles",2.0L,143PS,Manual,Petrol,"£1,850",N/A,Hatchback,Trade Price Car Sales - See all 31 cars,Dealer locationHigh Wycombe
10,Hyundai Coupe,2007 (07 reg),N/A,N/A,N/A,N/A,N/A,N/A,"£1,895",N/A,Coupe,Eden Approved Bicester - See all 48 cars,Dealer locationBicester
11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B&L Cars Ltd - See all 29 cars,Dealer locationWantage
12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eden Vauxhall Oxford - See all 58 cars,Dealer locationOxford
