,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
0,Citroen C3,2021 (21 reg),1 owner,"19,500 miles",1.2L,83PS,Manual,Petrol,"£13,295",N/A,Hatchback,Yeomans Citroen Plymouth - See all 52 cars,Dealer locationPlymouth
1,Volkswagen Golf,1999 (T reg),3 owners,"140,000 miles",1.6L,100BHP,Manual,Petrol,£375,N/A,Convertible,,N/A
2,Ford Fiesta,2009 (09 reg),2 owners,"137,356 miles",1.4L,94BHP,Manual,Petrol,"£1,490",N/A,Hatchback,,N/A
3,Volkswagen Golf,2010 (10 reg),4 owners,"91,000 miles",1.4L,122PS,Automatic,Petrol,"£3,999",N/A,Hatchback,,N/A
4,Vauxhall Corsa,2006 (06 reg),4 owners,"75,000 miles",1.2L,79BHP,Manual,Petrol,£500,N/A,Hatchback,Tamworth Road Cars - See all 12 cars,Dealer locationNottingham
5,Vauxhall Corsa,2011 (61 reg),3 owners,"107,000 miles",1.4L,100PS,Manual,Petrol,£995,N/A,Hatchback,SPRINGALLS CAR SALES LTD - See all 13 cars,Dealer locationReading
6,BMW Z3,2001 (51 reg),14 owners,"113,557 miles",1.9L,118BHP,Manual,Petrol,£575,N/A,Convertible,,N/A
7,KIA RIO,2012 (61 reg),1 owner,"139,301 miles",1.25L,85PS,Manual,Petrol,"£2,990",N/A,Hatchback,EDH Mot & Repair Centre Limited - See all 4 cars,Dealer locationPlymouth
8,Peugeot 206,2001 (Y reg),N/A,2.0L,134BHP,Manual,Petrol,N/A,£399,Cat D,Hatchback,Harlequin Motor Company - See all 25 cars,Dealer locationBristol
9,Vauxhall Astra,2004 (54 reg),N/A,"98,500 miles",1.6L,101BHP,Manual,Petrol,£500,N/A,Hatchback,Wokingham Motors Ltd - See all 35 cars,Dealer locationWokingham
10,Vauxhall Corsa,2007 (57 reg),15 owners,"80,000 miles",1.4L,89BHP,Automatic,Petrol,£700,Cat D,Hatchback,Sansa London - See all 14 cars,Dealer locationHounslow
11,Toyota Avensis,2007 (07 reg),2 owners,"120,500 miles",1.8L,127BHP,Manual,Petrol,"£1,995",N/A,Hatchback,CAR MART (SW) LTD - See all 81 cars,Dealer locationBristol
12,SEAT Arona,2020 (70 reg),N/A,"16,486 miles",1.0L,95PS,Manual,Petrol,"£13,891",N/A,SUV,Bristol Street Motors Renault Gloucester - See all 23 cars,Dealer locationGloucester
13,Vauxhall Corsa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
14,SKODA Fabia,2016 (16 reg),Full service history,"72,258 miles",1.2L,89BHP,Manual,Petrol,"£7,990",N/A,Hatchback,Howe Motors Ltd - See all 57 cars,Dealer locationBarry
15,BMW 3 Series,2003 (03 reg),N/A,"102,000 miles",2.0L,143BHP,Automatic,Petrol,£500,N/A,Hatchback,HG UK Car Sales - See all 229 cars,Dealer locationWokingham
16,Citroen DS3,2012 (61 reg),N/A,"97,000 miles",1.6L,120PS,Manual,Petrol,£750,Cat S,Hatchback,HG UK Car Sales - See all 229 cars,Dealer locationWokingham
17,Mercedes-Benz C Class,2008 (08 reg),2 owners,"167,897 miles",2.1L,136PS,Automatic,Diesel,"£1,999",N/A,Saloon,Revolve Collections Ltd - See all 20 cars,Dealer locationBirmingham
18,Vauxhall Astra,2010 (60 reg),N/A,"99,000 miles",1.6L,115PS,Manual,Petrol,"£2,499",N/A,Hatchback,Selekt Cars - See all 2 cars,Dealer locationHounslow
19,Jaguar X-Type,2005 (05 reg),Full service history,"161,000 miles",2.0L,130BHP,Manual,Diesel,£999,N/A,Saloon,Flc - See all 44 cars,Dealer locationYiewsley
20,MINI Hatch,2005 (05 reg),N/A,"153,000 miles",1.6L,115PS,Manual,Petrol,£595,N/A,Hatchback,Paragon Car Sales Ltd - See all 62 cars,Dealer locationFarnham
21,Ford Fiesta,2008 (58 reg),N/A,"93,904 miles",1.6L,118BHP,Manual,Petrol,"£2,999",N/A,Hatchback,Til Motors Cars.com - See all 11 cars,Dealer locationBurry Port
22,SKODA Fabia,2009 (59 reg),3 owners,"90,113 miles",1.2L,70BHP,Manual,Petrol,£500,N/A,Hatchback,Star City Motors Ltd - See all 9 cars,Dealer locationBirmingham
23,SEAT Ibiza,2010 (59 reg),3 owners,"116,207 miles",1.6L,105PS,Manual,Diesel,"£1,300",N/A,Hatchback,,N/A
24,Vauxhall Astra,2006 (56 reg),N/A,"122,000 miles",1.6L,103BHP,Manual,Petrol,"£1,390",N/A,Hatchback,Auto Globe Limited - See all 118 cars,Dealer locationMilton Keynes
25,BMW 1 Series,2010 (60 reg),N/A,"72,000 miles",2.0L,143PS,Manual,Petrol,"£1,850",N/A,Hatchback,Car & House - See all 95 cars,Dealer locationWelwyn
26,SKODA Fabia,2016 (16 reg),Full service history,"72,258 miles",1.2L,89BHP,Manual,Petrol,"£7,990",N/A,Hatchback,Howe Motors Ltd - See all 57 cars,Dealer locationBarry
27,SEAT Arona,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
28,Vauxhall Astra,2019 (19 reg),1 owner,"72,926 miles",1.6L,108BHP,Manual,Diesel,"£8,299",N/A,Hatchback,Hilton Car Supermarket Milton Keynes - See all 308 cars,Dealer locationMilton Keynes
29,Ford Fiesta,2007 (07 reg),7 owners,"99,000 miles",1.25L,74BHP,Manual,Petrol,"£1,290",N/A,Hatchback,A & S Motors - See all 25 cars,Dealer locationWalsall
30,BMW 1 Series,2010 (60 reg),N/A,"72,000 miles",2.0L,143PS,Manual,Petrol,"£1,850",N/A,Hatchback,Car & House - See all 95 cars,Dealer locationWelwyn
31,Mazda6,2010 (10 reg),4 owners,"85,200 miles",1.8L,118BHP,Manual,Petrol,"£1,695",N/A,Hatchback,Car Deal Ltd - See all 115 cars,Dealer locationWokingham
32,SEAT Ibiza,2011 (11 reg),5 owners,"142,950 miles",1.4L,85PS,Manual,Petrol,"£2,495",N/A,Hatchback,Doublebois Car Sales - See all 3 cars,Dealer locationLiskeard
