,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
0,Hyundai Tucson,2016 (16 reg),2 owners,"74,000 miles",1.6L,132PS,Manual,Petrol,"£9,500",N/A,SUV,Lux Cars International Ltd - See all 15 cars,Dealer locationWatford
1,Vauxhall Astra,2007 (57 reg),Part service history,"119,000 miles",1.9L,118BHP,Automatic,Diesel,£995,N/A,Hatchback,K-Carz - See all 26 cars,Dealer locationPeterborough
2,Vauxhall Tigra,2006 (06 reg),N/A,"131,000 miles",1.4L,89BHP,Manual,Petrol,£495,N/A,Convertible,Elite Motor Company - See all 72 cars,Dealer locationCroydon
3,Hyundai i30,2011 (61 reg),N/A,"130,000 miles",1.4L,110PS,Manual,Petrol,£949,N/A,Hatchback,Car Valley - See all 108 cars,Dealer locationWembley
4,Audi A4,2010 (10 reg),3 owners,"79,000 miles",1.8L,120PS,Manual,Petrol,"£4,750",N/A,Saloon,YAS CAR - See all 26 cars,Dealer locationWatford
5,MINI Hatch,2005 (05 reg),N/A,"101,000 miles",1.6L,115PS,Manual,Petrol,"£1,195",N/A,Hatchback,PLF Cars - See all 203 cars,Dealer locationChertsey
6,BMW 3 Series,2007 (07 reg),6 owners,"144,460 miles",2.0L,163PS,Manual,Diesel,"£1,200",N/A,Saloon,Trade Smart Motors - See all 24 cars,Dealer locationCroydon
7,Suzuki Swift,2009 (09 reg),4 owners,"68,000 miles",1.3L,91BHP,Manual,Petrol,"£1,990",N/A,Hatchback,Quality Part Ex Southall - See all 133 cars,Dealer locationSouthall
8,BMW 1 Series,2010 (60 reg),N/A,"72,000 miles",2.0L,143PS,Manual,Petrol,"£1,850",N/A,Hatchback,Car & House - See all 93 cars,Dealer locationWelwyn
9,Toyota Yaris,2004 (54 reg),3 owners,"119,548 miles",1.3L,85BHP,Manual,Petrol,£795,N/A,Hatchback,Heritage Auto Factors - See all 23 cars,Dealer locationLuton
10,Volkswagen Polo,2008 (58 reg),6 owners,"85,250 miles",1.2L,60BHP,Manual,Petrol,£995,N/A,Hatchback,Sunny Autos - See all 10 cars,Dealer locationNortholt
11,Lexus IS 250,2007 (07 reg),N/A,"128,199 miles",2.5L,204BHP,Manual,Petrol,"£2,222",N/A,Saloon,Bravo Motorcars Ltd - See all 36 cars,Dealer locationRickmansworth
12,BMW 1 Series,2020 (69 reg),1 owner,"47,615 miles",1.5L,138BHP,Manual,Petrol,"£18,300",N/A,Hatchback,Big Motoring World Enfield - See all 742 cars,Dealer locationWaltham Cross
13,Vauxhall Corsa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
14,Mitsubishi Eclipse Cross,2018 (18 reg),2 owners,"89,208 miles",1.5L,161BHP,Automatic,Petrol,"£12,600",N/A,SUV,Big Motoring World Wimbledon - See all 768 cars,Dealer locationTooting
15,Honda Civic,2007 (57 reg),3 owners,"102,919 miles",1.8L,138BHP,Manual,Petrol,"£1,850",N/A,Hatchback,Car Valley - See all 108 cars,Dealer locationWembley
16,Vauxhall Corsa,2007 (57 reg),N/A,"80,000 miles",1.4L,89BHP,Automatic,Petrol,£700,N/A,Hatchback,YAS CAR - See all 26 cars,Dealer locationWatford
17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quality Part Ex Southall - See all 133 cars,Dealer locationSouthall
18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sunny Autos - See all 10 cars,Dealer locationNortholt
19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cat D,N/A,Sansa London - See all 15 cars,Dealer locationHounslow
20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MY NEW CAR - See all 82 cars,Dealer locationHanwell
21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sansa London - See all 15 cars,Dealer locationHounslow
22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MY NEW CAR - See all 82 cars,Dealer locationHanwell
